ID,ID_person,Square,Rooms,Price
0,17266,53,2.0,20140
1,13084,57,2.0,15846
2,11257,111,5.0,37407
3,14349,38,1.0,15162
5,16656,45,2.0,9810
6,1237,52,3.0,18876
7,4942,74,3.0,21460
9,5181,115,6.0,39675
10,13644,69,4.0,27117
11,344,113,6.0,36273
12,7462,53,2.0,18338
13,8475,93,5.0,34131
14,14632,90,5.0,25560
15,658,120,5.0,25560
16,14676,120,5.0,24840
17,18987,68,3.0,21692
18,9201,82,3.0,20418
20,9808,116,5.0,35148
21,15580,39,2.0,9438
23,11451,61,3.0,21228
25,14196,101,5.0,23331
26,6850,63,3.0,25011
27,10564,46,2.0,14628
29,8502,97,4.0,37151
30,17297,64,4.0,22080
31,12395,37,1.0,8103
32,13438,126,7.0,41958
33,3260,32,1.0,8128
34,4888,47,3.0,9635
35,13146,108,6.0,26244
36,13270,33,2.0,12441
37,1246,121,7.0,38599
40,15143,127,5.0,36322
41,17311,101,4.0,27472
42,15534,65,2.0,17940
44,17241,46,2.0,15180
45,7272,126,5.0,30870
46,13934,66,3.0,18810
47,4150,93,5.0,33759
48,5290,31,2.0,11036
50,7901,103,4.0,27398
51,917,101,5.0,24038
53,11668,31,1.0,11439
54,13745,56,3.0,20384
55,16290,55,3.0,17435
57,11591,32,1.0,8096
58,17558,35,2.0,8330
59,6757,71,4.0,21726
60,6699,37,1.0,7659
61,13374,51,2.0,14841
62,7283,99,4.0,36531
63,10024,128,6.0,26112
64,1870,72,4.0,26568
65,12897,58,3.0,13862
66,6802,48,2.0,17616
67,11884,53,2.0,12614
68,13247,46,2.0,14950
69,19948,64,2.0,13504
70,2257,129,5.0,47601
73,14257,76,4.0,15276
74,2225,105,7.0,41265
75,10446,36,2.0,12960
77,3320,110,5.0,42240
78,6043,119,5.0,27251
79,666,89,4.0,31595
81,6075,44,2.0,15092
82,14052,111,6.0,24198
85,4298,103,5.0,40067
86,10186,118,5.0,41536
88,19922,68,4.0,15300
89,1086,49,2.0,11319
91,13046,46,2.0,17894
92,15367,110,5.0,34980
93,6079,88,4.0,32120
94,13448,30,1.0,6870
95,3512,109,6.0,23108
96,9548,83,4.0,25896
97,2686,109,5.0,31174
98,9432,48,2.0,16944
100,8644,68,4.0,26452
101,4771,65,4.0,15210
102,15058,34,2.0,7446
103,3880,64,4.0,16064
104,10564,99,5.0,34254
105,16328,33,1.0,12309
107,12773,32,1.0,10016
108,19505,72,3.0,15912
109,19041,41,1.0,11316
110,18568,118,5.0,43542
111,9731,93,5.0,20832
112,13541,47,1.0,18283
113,3666,117,5.0,25506
114,1802,72,3.0,17928
115,9484,110,6.0,38940
116,17819,41,2.0,15170
117,7623,104,6.0,38480
120,7147,110,4.0,38830
121,13257,105,4.0,39270
123,15104,88,5.0,31768
125,8685,71,3.0,18673
126,4583,67,3.0,17286
127,8583,121,6.0,34848
129,3853,127,6.0,44577
130,2062,43,2.0,12427
131,15825,68,4.0,23256
134,6534,67,3.0,24522
135,16770,51,2.0,17697
136,8578,94,3.0,25568
139,7267,110,6.0,37510
140,3070,116,6.0,31088
141,8333,73,4.0,14892
142,14733,37,1.0,11507
143,17089,55,2.0,19030
145,1342,54,3.0,18846
146,52,76,5.0,16492
147,12648,49,3.0,12691
148,5654,111,4.0,26751
149,11781,91,5.0,26117
150,2216,80,3.0,30000
151,3038,87,5.0,18966
152,15785,86,4.0,19866
153,15368,92,5.0,24932
154,4963,73,3.0,28981
155,5983,128,5.0,48256
157,15330,37,1.0,7807
158,6384,50,2.0,18400
160,13157,116,6.0,34452
161,18705,52,2.0,19552
163,3850,110,5.0,36740
164,1156,73,3.0,23579
165,12073,45,1.0,9405
166,1105,72,3.0,25056
167,3969,49,3.0,17003
168,11162,59,2.0,12862
169,12321,117,6.0,35685
170,1268,118,7.0,25370
171,11330,30,1.0,8520
173,6032,96,4.0,30912
174,6654,66,4.0,23628
175,10550,57,3.0,21888
177,16213,113,5.0,27233
178,17923,62,2.0,16678
179,14420,116,4.0,27840
181,5654,32,1.0,10624
182,13529,51,2.0,17493
183,18430,118,7.0,32922
184,13546,31,1.0,6975
185,9600,47,3.0,16826
186,11809,75,3.0,26700
188,18140,90,6.0,18900
189,10006,111,5.0,31746
190,5689,83,4.0,17347
191,5980,73,3.0,28397
193,19633,125,6.0,32250
194,5952,81,4.0,29970
195,13590,120,6.0,41520
196,8295,94,4.0,32054
198,4639,49,2.0,19551
199,19593,81,4.0,16686
200,15513,65,3.0,22555
201,2359,57,2.0,13680
202,11051,43,2.0,13588
204,5166,53,3.0,18656
206,12265,76,3.0,28652
207,11275,39,1.0,10413
208,1562,121,7.0,46101
209,8491,47,1.0,14053
210,3730,96,4.0,33408
211,3198,70,4.0,14770
212,13211,51,3.0,12444
213,4406,108,4.0,24840
215,12348,69,3.0,21597
216,14210,49,2.0,14455
217,1637,110,5.0,29370
218,8929,124,5.0,49104
220,16481,70,3.0,14000
221,4878,106,4.0,41340
223,17454,69,4.0,21735
225,14060,113,5.0,41245
226,7991,118,5.0,34456
227,10197,36,1.0,10476
228,19762,105,4.0,35070
229,3840,97,4.0,23377
231,18534,71,3.0,25489
232,1311,123,5.0,45141
233,6608,35,2.0,13020
234,13561,82,5.0,23698
236,15175,64,4.0,19456
237,9988,81,4.0,26892
238,11860,102,4.0,24888
239,13619,74,3.0,25752
240,1071,42,2.0,15498
241,11793,114,7.0,31122
242,15444,49,2.0,11417
243,2373,123,6.0,41697
244,10465,51,2.0,13923
245,2673,79,5.0,21093
246,19720,57,2.0,14877
247,7364,95,5.0,30115
248,17528,36,1.0,8352
249,3448,53,2.0,19080
251,17179,64,4.0,16320
252,5620,82,3.0,30012
253,15162,112,6.0,43456
254,5338,42,2.0,9114
255,19281,43,2.0,14405
256,8581,93,5.0,22413
257,6903,57,2.0,11913
258,2747,96,6.0,20160
260,16194,126,6.0,37044
261,1395,89,3.0,34799
262,8144,107,5.0,30281
263,5455,41,1.0,11111
264,9439,106,5.0,32648
265,9589,96,4.0,27840
266,6240,93,4.0,22971
267,5327,86,4.0,18318
268,12962,46,2.0,15456
269,13202,88,4.0,18568
270,18909,91,3.0,19201
271,12400,41,2.0,8856
272,781,115,6.0,36455
274,12658,95,5.0,23085
275,2813,69,4.0,24426
276,5816,100,6.0,22500
277,3981,30,1.0,10410
278,11520,114,4.0,33516
279,13553,122,7.0,31842
280,12867,67,3.0,23517
281,16278,103,4.0,23896
282,1062,88,4.0,25960
283,18762,115,6.0,28405
284,16790,99,4.0,26928
285,17130,103,4.0,37286
286,9836,115,5.0,41975
287,18672,106,4.0,36994
288,1426,105,5.0,29295
289,16101,124,6.0,36084
290,14384,121,7.0,46464
291,2476,116,5.0,28188
292,6714,97,5.0,19497
293,18753,69,4.0,20148
294,10751,99,6.0,24255
295,8404,128,6.0,41984
296,16559,68,2.0,23596
297,10653,51,3.0,12087
298,15662,129,6.0,47085
299,18282,34,2.0,10166
300,7179,51,3.0,16728
301,2210,54,3.0,13554
303,1333,83,4.0,31291
304,16474,79,4.0,26307
305,6609,93,3.0,27063
306,12425,64,2.0,13056
307,4096,33,2.0,11880
308,12223,62,3.0,12400
310,8514,107,6.0,39162
312,10937,93,3.0,19902
313,14755,85,5.0,32980
314,242,104,4.0,23608
316,4414,83,5.0,16849
317,19604,126,8.0,46872
319,974,96,4.0,31872
320,15651,51,2.0,13464
321,6305,79,3.0,26702
322,9136,53,2.0,21041
323,3808,99,6.0,31482
324,13964,39,2.0,10959
325,10719,98,5.0,31654
328,9326,31,1.0,7781
330,5694,75,3.0,28575
331,8149,56,3.0,21672
332,13257,41,2.0,15129
333,12265,43,2.0,17028
334,7847,68,2.0,16252
335,14935,68,4.0,18292
336,16420,105,5.0,41160
337,18537,124,6.0,40548
338,19308,101,4.0,35047
339,17328,115,7.0,24380
340,2039,89,4.0,23852
341,18959,75,3.0,16425
342,17124,44,1.0,12848
343,7879,74,4.0,23680
344,6759,38,2.0,10982
345,2918,125,7.0,49250
346,2415,65,3.0,22295
347,17305,129,8.0,42312
348,2521,88,4.0,17952
349,10804,117,6.0,41769
350,11584,56,3.0,12432
351,9643,87,4.0,26796
352,9033,55,3.0,12210
354,866,121,5.0,46948
355,1353,113,7.0,36047
356,13940,74,3.0,22644
