ID,ID_person,Model,Power,Price
0,6823,LADA,112.0,373960
3,6843,Daewoo,96.0,923377
5,18666,Subaru,232.0,3156028
6,9369,KIA,467.0,2357142
9,7380,KIA,348.0,2995054
13,11707,Mercedez-Benz,251.0,3593542
14,19013,Subaru,446.0,2890876
15,18736,Toyota,430.0,2193626
16,2957,Ford,308.0,2167110
17,14042,Subaru,280.0,656360
18,11178,Subaru,303.0,1739920
19,8942,Infiniti,280.0,434263
20,17987,Ford,314.0,2514113
21,906,Toyota,460.0,555917
24,3083,Ford,272.0,2310968
25,17751,Subaru,425.0,2636671
26,15802,Audi,106.0,3263098
27,4402,Toyota,299.0,1368324
29,8859,LADA,230.0,3618399
30,4512,KIA,435.0,1446196
31,18176,LADA,405.0,3236720
32,12372,Infiniti,367.0,3674590
33,8621,Nissan,274.0,697831
34,9753,Subaru,240.0,220548
35,15601,Subaru,364.0,582093
36,6552,Infiniti,211.0,3735619
37,3442,Subaru,134.0,3390517
38,16380,KIA,188.0,3986991
39,16889,Audi,250.0,2521319
40,13702,Nissan,421.0,665465
41,3139,Mercedez-Benz,335.0,1127436
42,7,Subaru,163.0,3938379
43,7019,Infiniti,490.0,3140925
44,18299,Mercedez-Benz,390.0,1698711
45,18147,BMW,335.0,363191
46,14625,Ford,416.0,1080071
47,19297,Mercedez-Benz,70.0,568396
48,7592,Subaru,245.0,2220686
50,4190,Daewoo,338.0,616264
51,7450,KIA,204.0,294203
52,19560,Audi,85.0,200844
53,16001,BMW,225.0,808188
54,10177,BMW,496.0,3258697
55,7891,Mercedez-Benz,409.0,1843942
56,5798,Infiniti,248.0,2616553
57,8633,Infiniti,433.0,2764270
58,19105,Mercedez-Benz,179.0,1861125
59,432,KIA,364.0,1508673
60,1433,Audi,485.0,3173566
61,12404,Daewoo,157.0,1887368
62,10451,Audi,390.0,1318974
63,4964,Toyota,101.0,2017116
64,7352,Ford,449.0,952151
65,2499,Infiniti,482.0,2575148
66,14834,Mercedez-Benz,205.0,623093
67,7128,Nissan,191.0,1971451
69,4812,BMW,299.0,797908
72,977,Mercedez-Benz,146.0,3579339
73,17338,Toyota,225.0,703122
74,7875,Ford,268.0,1982433
76,19383,Subaru,334.0,540538
77,1586,Toyota,410.0,946140
78,9833,Ford,456.0,385382
79,9715,KIA,108.0,2463769
80,6962,Infiniti,213.0,2448971
81,10910,Mercedez-Benz,304.0,1213821
82,11818,Audi,176.0,1966992
83,8412,LADA,210.0,669078
84,17236,Daewoo,250.0,2557478
85,12046,KIA,347.0,1507259
86,9824,Ford,357.0,1005539
87,4003,KIA,486.0,215165
88,453,Subaru,233.0,2093609
89,18756,KIA,320.0,3407302
90,14503,Ford,434.0,3278654
91,6652,LADA,350.0,1782955
92,13538,Subaru,77.0,3817309
95,15003,Toyota,195.0,1833861
96,14974,Subaru,305.0,3481414
97,19154,Subaru,278.0,2674954
98,10513,Ford,213.0,1479950
100,7439,Subaru,388.0,3386265
101,831,Audi,454.0,1403668
103,5927,Mercedez-Benz,106.0,2303689
104,8739,Toyota,325.0,1827399
105,19797,Mercedez-Benz,481.0,2159975
106,10437,Ford,216.0,1502165
107,8594,Infiniti,166.0,1265353
108,8634,LADA,350.0,3564025
109,16286,Daewoo,371.0,1616074
110,11483,Audi,184.0,2106959
111,14919,KIA,79.0,1563124
113,10606,Daewoo,102.0,2723978
114,1615,Audi,239.0,1838486
115,16256,Nissan,89.0,3650154
116,1544,Mercedez-Benz,479.0,1049509
117,19749,Toyota,256.0,1482674
118,2959,Subaru,164.0,1048237
119,13630,Toyota,159.0,2105137
120,9437,Subaru,327.0,1438364
121,9384,Mercedez-Benz,326.0,862856
122,1643,BMW,297.0,2375636
123,1481,Ford,375.0,1864297
124,13296,Subaru,96.0,1872789
125,13825,Ford,448.0,1041213
127,4429,Mercedez-Benz,337.0,2221659
128,2110,LADA,392.0,1596520
129,14662,Subaru,460.0,1029810
130,16499,Toyota,394.0,3353981
131,253,Nissan,88.0,1576453
134,4992,Daewoo,204.0,2827273
136,6032,Daewoo,152.0,2501311
137,5450,Audi,89.0,1976187
139,7677,Ford,196.0,1777269
140,16305,Ford,445.0,1953676
141,6584,KIA,224.0,1445390
142,9499,Infiniti,296.0,450384
145,14499,BMW,377.0,2945542
146,18303,Nissan,418.0,2892737
147,14095,Toyota,279.0,829531
148,9532,Daewoo,383.0,2373516
149,6486,Subaru,427.0,2884826
150,3789,Nissan,256.0,3035329
151,11525,KIA,132.0,3142387
152,10487,BMW,313.0,644312
154,5109,Ford,351.0,3237542
155,9335,BMW,398.0,846848
157,8136,LADA,422.0,1102742
158,203,Mercedez-Benz,113.0,3538290
159,15845,BMW,242.0,2966764
160,16463,KIA,319.0,663549
161,18242,Ford,217.0,2281675
162,390,BMW,240.0,1974817
163,2887,BMW,440.0,1690552
165,10892,Daewoo,346.0,2168234
166,19596,Nissan,90.0,3951606
167,13326,Infiniti,316.0,2697050
168,15360,LADA,401.0,2560424
169,4514,KIA,456.0,386407
170,4151,Mercedez-Benz,413.0,3634631
171,19131,Toyota,195.0,2722600
172,984,Nissan,384.0,1359668
173,19894,KIA,257.0,2721347
174,18293,Infiniti,174.0,2573327
175,6879,Subaru,100.0,1031059
177,4375,Subaru,344.0,3287949
178,16750,Mercedez-Benz,318.0,2000217
179,19116,BMW,92.0,1777770
180,4047,Audi,403.0,3748792
182,10709,Nissan,378.0,382630
183,1508,Toyota,476.0,3844292
184,15869,Daewoo,348.0,3061365
185,1226,Toyota,452.0,2660585
186,12030,Subaru,226.0,1715108
187,8683,LADA,165.0,1705584
188,8540,LADA,95.0,660781
189,11823,KIA,434.0,972254
190,8907,Nissan,381.0,2032141
191,7075,LADA,432.0,2170979
192,7652,Daewoo,111.0,1740075
193,19532,Subaru,262.0,903743
194,16693,LADA,407.0,1821994
196,2832,Nissan,493.0,2962865
197,7563,Infiniti,483.0,3015169
198,13178,Mercedez-Benz,384.0,3158006
200,5877,KIA,221.0,3706253
201,4855,Toyota,139.0,862584
202,7201,Nissan,351.0,1508294
203,5750,KIA,149.0,3243885
204,12389,Ford,256.0,1778589
205,19277,Nissan,266.0,1086021
206,2242,Subaru,179.0,1008672
208,13012,Toyota,264.0,3644009
209,4610,Daewoo,272.0,3896860
210,3957,Daewoo,300.0,670256
211,2447,Nissan,469.0,2441736
212,3694,Ford,284.0,2211121
213,12133,Infiniti,396.0,1632218
214,4560,Nissan,126.0,967075
215,1235,KIA,264.0,981021
216,8808,BMW,172.0,2469708
217,18610,Toyota,251.0,625311
219,1860,Toyota,170.0,1526306
220,16827,Mercedez-Benz,390.0,1558926
221,9466,KIA,318.0,2867890
222,16351,Daewoo,341.0,587921
223,3080,Mercedez-Benz,341.0,3956876
224,4623,Daewoo,399.0,2853966
225,10691,KIA,72.0,724759
227,7946,Daewoo,339.0,2398042
228,7499,Toyota,339.0,2249683
230,11116,BMW,97.0,3192329
231,13876,Daewoo,226.0,2299058
232,9231,Daewoo,384.0,2533225
234,6940,Subaru,314.0,493415
235,14830,BMW,326.0,2151508
236,2928,Toyota,311.0,2111595
237,1516,KIA,362.0,775290
238,12389,Nissan,281.0,1041726
239,15467,LADA,240.0,1673027
240,11467,Audi,148.0,853937
241,11739,Toyota,470.0,1338041
242,10835,KIA,287.0,1817882
243,490,KIA,285.0,3515502
244,3808,LADA,111.0,371275
245,1152,KIA,327.0,3487130
247,18149,BMW,309.0,3885326
248,11137,Infiniti,394.0,1153597
249,8286,Nissan,165.0,3454229
250,15821,Daewoo,88.0,640010
251,1756,KIA,327.0,2738807
253,17766,Nissan,456.0,3268457
254,11031,Audi,286.0,1572999
255,9495,BMW,343.0,1662808
256,4636,Audi,486.0,693415
258,11624,Subaru,190.0,2778537
259,6503,Mercedez-Benz,141.0,2671729
260,11424,Infiniti,283.0,3083311
261,7971,Infiniti,210.0,3864031
262,9804,Toyota,401.0,3378636
264,7656,BMW,78.0,342366
265,1094,Mercedez-Benz,106.0,425116
266,10002,KIA,211.0,1730106
268,2689,Daewoo,202.0,440692
269,15740,Audi,481.0,923656
270,2873,Ford,206.0,3084139
272,260,Infiniti,229.0,3824106
273,19551,Mercedez-Benz,350.0,1232072
274,6238,Audi,198.0,1357560
275,13500,Infiniti,255.0,3989848
277,10261,Daewoo,497.0,1172553
278,5659,Mercedez-Benz,421.0,1373544
279,16699,Daewoo,213.0,2325534
280,6048,Subaru,205.0,3886748
281,1858,Subaru,278.0,3553514
282,13096,Mercedez-Benz,274.0,3064691
283,6356,Infiniti,96.0,1726238
284,3267,BMW,453.0,1009742
285,7473,LADA,186.0,1181348
286,13700,Toyota,296.0,3630712
287,2796,Ford,487.0,1356768
288,17755,Infiniti,370.0,1460211
290,10299,Daewoo,149.0,232228
291,18043,KIA,288.0,1709214
292,15524,KIA,141.0,3399407
293,18757,Mercedez-Benz,411.0,1395498
294,5116,Toyota,394.0,504201
295,13500,BMW,118.0,2661364
297,19668,Ford,163.0,1519397
298,11440,Subaru,124.0,2631784
299,7121,Toyota,80.0,1033397
300,3631,Infiniti,459.0,2558698
301,17716,Infiniti,356.0,3121077
302,12266,Daewoo,372.0,3477809
303,5997,Subaru,492.0,1339123
304,6175,Mercedez-Benz,294.0,710328
305,2292,Daewoo,329.0,770901
306,19268,Infiniti,492.0,2011388
307,5134,Ford,462.0,535068
308,14652,Mercedez-Benz,451.0,738916
309,5958,Nissan,382.0,630353
310,19327,Audi,155.0,3593728
311,1837,Infiniti,403.0,1503669
312,5693,Infiniti,279.0,396864
313,7419,Toyota,87.0,2249920
314,267,KIA,120.0,3921484
315,1634,Ford,466.0,1348292
316,17443,Mercedez-Benz,284.0,3073191
318,1657,Audi,269.0,2960492
319,1183,Subaru,354.0,1374981
320,12728,Infiniti,181.0,928539
321,14588,LADA,197.0,239256
322,10956,Ford,123.0,2117647
323,15903,LADA,349.0,414105
324,198,Nissan,144.0,3632025
325,15158,Audi,194.0,2452014
326,14012,BMW,96.0,3780908
327,4839,BMW,435.0,3265969
328,239,Ford,367.0,1477336
329,3367,Ford,360.0,3536235
330,7982,Ford,489.0,3595824
331,3148,Toyota,171.0,324191
332,13873,Toyota,221.0,2619404
333,14156,Subaru,131.0,3184277
334,18219,LADA,482.0,3892716
335,2219,Infiniti,227.0,3509709
336,2892,Infiniti,250.0,3311000
337,5360,Ford,340.0,2651254
338,7195,Audi,212.0,611183
339,14860,Infiniti,328.0,695219
340,7083,BMW,128.0,2551849
341,2635,BMW,363.0,2815103
342,12723,BMW,250.0,1721366
344,16917,Infiniti,125.0,2448315
345,12178,Audi,113.0,2386240
